founder,event_count,follow_count,fan_count
云音乐智能推荐,4,3,502.84
KillBunny,1,26,219.57
______飏,160,218,29.1
孤单又灿烂的神丨鬼怪,103,47,40.53
chaz1,32,56,335.75
Lscheese,50,97,48.12
宸极Cody,0,111,26.63
我鲁班不坑,26,1,152.39
沐辰style,2,68,21.45
Vxe-,6,95,9.32
HUMAN00,158,249,282.31
RJH国荣,1,9,16.79
冷森Listen,44,118,181.43
3KALIA,17,56,16.06
宝藏男孩咕咕,4,18,25.06
想养金毛的Apple,10,26,109.54
野猫不乖哦,0,2,4.06
云音乐智能推荐,4,3,502.84
KillBunny,1,26,219.57
______飏,160,218,29.1
孤单又灿烂的神丨鬼怪,103,47,40.53
chaz1,32,56,335.75
Lscheese,50,97,48.12
宸极Cody,0,111,26.63
我鲁班不坑,26,1,152.39
沐辰style,2,68,21.45
Vxe-,6,95,9.32
HUMAN00,158,249,282.31
RJH国荣,1,9,16.79
冷森Listen,44,118,181.43
3KALIA,17,56,16.06
宝藏男孩咕咕,4,18,25.06
想养金毛的Apple,10,26,109.54
野猫不乖哦,0,2,4.06
mayuko然,1426,19,1872.72
w柚w,37,8,10.15
爱打篮球的亮亮,7,10,15.24
Dexter_RV,3,22,4.52
茉瑾年,121,18,71.4
k二月来的洛瑶,18,129,8
柠檬木有枝,2658,188,1109.88
yxich01,30,182,9.9
爱老薛的坨坨,0,11,3.37
金州拉文fmvp,1,22,12.01
陪雨柔长大,0,3,10.22
Amber丶Queen,744,7,130.2
DISABLEman,87,97,20.83
念念念安娜,48,42,91.4
希望你每天都快乐yo,1,2,1.21
妍橙儿,0,5,17.46
喜爱吃糖的小小高,0,47,4.22
活该你风生水起,266,26,768.73
大白分享库,1,15,2.93
少年的半岛铁盒,582,200,155.97
爆肝工程师的狂想曲,287,43,65.76
时寁,10,27,5.96
惜白啦,5,6,5.72
她的水彩笔,426,66,387.41
LEYOONAFRIEND,0,4,45.24
今晚磕到死,7,64,5.98
欧美老猫,1762,319,125.44
迟到得到,59,16,64.73
这眼前美景与谁叙,6,106,3.08
ZRBSX,3,53,4.51
超爱吃火锅的o,1,4,0.83
Avada阿瓦达啃大瓜,21,85,18.16
NeilShine_,8,99,31.96
西柚甜,115,0,90.31
小sun是太阳,1,3,3.42
却与蝉声乱了琴,1,2,1.6
螚安Vivienne,2411,0,504.72
假衣,2,10,2.61
你的温柔既残酷,17,82,5.8
半颗番茄xi上学中,1,5,1.91
#NAME?,76,48,1.18
陪我去抓水母好吗,2,6,10.3
一生向海,186,140,72.7
FlyingClub,144,22,216.31
shakemyhead,189,101,215.67
Q子阳,1,12,1.5
Miss风范,81,29,30.16
-KooTo-,2378,1,488.64
YouTube视频推荐,8113,19,5970.87
宁遇夏,2813,18,899.29
喪甜老爹,0,0,107.34
雨露xixi,7,11,2.2
点落雨声轻叹,0,8,0.22
-情殇雨夜-,72,18,114.96
You和Basketball,0,8,2.91
Kaleidoscott,77,74,33.08
小攀哟,371,155,1535.75
Gotnofears_Show,2,52,1.73
小铁Joe,61,43,140.5
小耀AAA,2,4,16.74
柒柒柒如是,46,23,2.34
gentlemenc,1,12,2.06
于_怀_,4,14,1.81
小豪小豪是个乖宝,7,51,97.41
濑红莉栖,61,4,13.68
一只傻高天,4,5,3.54
桑菲尔德L,32,19,31.43
十三逆旅Cobain,114,40,34.9
仇远旭a,0,1,366.42
好好啃书,11,19,3.32
NickJonasCN,795,137,34.56
欧美音乐杂货铺,5244,429,209.39
SIRTEEN_Beijing,131,96,48.79
金暗洙,35,100,152.64
JeanaChong,178,11,2.54
Audrey江挽,119,5,1.78
--仙气撩人--,50,19,2.4
宇宙徒步旅行家,74,7,93.15
Ceaoee,184,30,133.42
还找得到吗,18,9,2.35
Joceah,7,103,5.3
Gucanbt040,0,2,1.89
远房小姑,2,5,1.34
大祸祸-二文,901,0,692.18
楼船夜雪天,1028,108,80.34
余志枭,0,53,1.29
灵魂超市收破旧灵魂没人要的灵魂,362,77,132.82
樱桃味音乐,415,15,72.25
李小楚,43,23,4138.43
云村_阿宇哥呦,1,0,1.46
格格酱GG,17,10,52.98
逗比笑一个n,1,30,1.39
航鶴鶴收藏家,54,130,14.67
爱吃饺子的毕业生,221,41,50.15
邹海国,9,9,0.51
EricCheng-,112,87,67.37
许硕安_,2,3,1.68
oreo灵,5,31,23.86
谢宇航啊,30,444,0.95
下一颗巧克力,794,77,546.75
情思天鹅,4764,42,2561.14
云音乐歌单之友,892,238,2079.43
迟到情书,352,21,943.14
小困吃饱了-,38,12,1.74
Double_TRAP,0,2,0.01
不哴酒精嗜号灯,51,17,1.89
山河暮归,27,101,122.14
田秋飒,136,117,19.74
欧美驿站,0,5,0.14
TeMpT-y,11,4,6.51
艾琳艾德勒丶,274,161,871.99
兮香,4,9,13.93
璎璎qaq,0,4,2.06
cwyxbmlike,4,4,0.48
抖音小程序,4,4,2.12
赛赛尔啊,12,48,11.7
陌路繁华-,984,373,76.73
NickyRomero,754,288,746.65
博儿要努力奋斗up,3,2,1.99
倒闭的才华有限公司,6,24,2.11
鹿北浠,97,49,104.11
原点FM,602,80,2206.4
温柔网友随心先生,0,1,1.57
_卋罖_,7,0,0.98
TaylorSwiftUpdates,1341,39,104.76
soAoAyEDM,2145,423,204.71
Sauce420,24,218,8.43
超级喜欢喝可乐,0,3,0.03
梵浩-,0,10,0.49
酥糖今天笑了嘛,0,6,1.35
-nullllun-,0,0,56.38
你尽管哭有人安慰你算我输,1,9,2.31
dd只会嘤嘤嘤,0,107,1.27
BAEK-J,37,37,96.52
pure日月,1740,87,544
Papi_Yolanda,3,22,0.49
梧桐影木丶,34,35,11.39
早就不i了,1,0,2.56
Areal肥阳,665,272,533.92
仲山奥理,46,86,2
没有茗梓,0,11,0.61
荒墨Kurihara,109,105,186.65
谐星七十六号,691,433,83.8
师兄不叫思松,87,202,68.75
olly的牙缝,147,135,405.1
DEF-X,2,105,1.87
迈克-W,1,7,12.75
白羊爱上了双子,6,10,1.53
Babyheart2,13,15,0.15
言云清,3,70,1.15
欢欢-e,0,0,1.79
pppeepsi,11,17,1.03
Thunder_bee,29,1221,15.11
傻傻傻傻傻了,287,0,145.11
DjRcheng,4,62,9.37
星空君说宇宙,0,5,8.98
尤文杰BBLin,48,95,8.91
Nurali-FM,61,763,21.18
SaSaSNSD,2,13,0.49
你是人间失策,0,6,3
hentai小绅士-,24,124,54.57
时光如水你好,1628,139,368.44
DJstrong,1,1,0.68
可你怎么总是忘记我很爱你,240,30,200.55
不知名追星少女,1,27,1.02
宇宙播报机,23,97,11.25
蝶影丛虫,0,53,209.34
Hu-cares_,1,1,0.44
传说中的蛙神,0,27,0.2
节奏水枪Beat_WaterPistol,0,11,15.15
鱼骨与飞鸟集,73,6,120.73
酒心怪獸,518,10,8.15
YoakeNatsu,20,75,47.67
麦月二七_,13,17,0.71
hhhiiiioo,0,4,0.04
流亡大街,3,180,45.72
Monstercat,1111,50,830.9
含着别吐,17,0,3.19
OedoKuipers,20,72,1.27
喝勺你的蛋白粉,1,5,6.69
望你眼中风起,553,43,114.28
ClairoToday,964,130,44.84
吴爱星双子,0,2,4.29
乐瑥x,15,62,3.49
正在高考的VY,0,56,82.49
Aog君,4,7,7.46
幽情花儿开,0,4,0.21
自问归处,0,3,0.51
哔哩哔哩音乐娘,43,78,223.94
喜欢就关注鸭,78,13,90.64
无法阻止自己堕落但浪漫不死,5,4,1.7
salaMu_,29,113,6.33
拯救世人的逗比,0,24,0.64
空气很颓废,678,70,463.45
听说你也在等雨晴,1,3,4.79
TRIPHOPP,161,61,4.06
执白j,14,21,0.59
宇智波Show,11,39,12.74
雪佛兰迈锐宝XL,0,2,0.99
LARE季风,0,25,0.87
-crystall-,8,5,1.37
阡屿_,3,7,0.48
原创君,7563,748,5290.72
xylitol-x,2,17,2.56
LovelyWICK,288,337,17.27
百龄容与,14,44,1.45
长夜看海,16,11,119.18
Re-End,1,19,1.49
Spyromun_,5,87,70.44
郭峰瑞Rui,5,9,11.88
-XxxGreyen-,115,67,74.54
吳-文-樂,37,1041,2.07
MusicalTimes,5035,111,305.64
小石头叔蜀,3,21,0.94
硬地原创音乐榜,56,40,81.35
烈雨,836,325,806.67
国风堂音乐企划,139,16,3587.93
会是猫的薛定谔,19,13,1.79
HHHHalsey,28,132,1.41
YellG-,10,127,0.88
冻鲫鱼,46,65,6.59
六年网易人,330,24,43.9
浩酱w,0,1,3.97
你今天真真真好看,27,43,27.79
宝藏男孩Simon,65,93,11.61
隐匿于蓝,12,30,23.2
Eliaukjuly,14,82,0.3
好色痞和尚啸先生,7,18,1.4
LeoOfficial,112,85,84.44
生活委员,2053,116,112.3
糯米小鲶鱼,0,11,0.69
苏打_苏打绿,9,14,6.11
何木期,0,3,5.71
夢燈籠-Cc,6,19,0.65
修行者之虚无,5,8,0.44
喜恶灵_,1,0,0.85
G1ockieD,4,7,0.63
2020最流行抖音歌曲,8,5,0.42
A-Yari,143,219,77.9
EdgarBob,0,27,0.27
早安达人,18,0,0.03
湫川,11,23,0.96
佐仓小小千代,543,437,630.77
剑仙xg,9,4,3230.55
池予xing,0,54,0.52
心动TroyeSivan,16,165,0.45
峯哥牛逼,19,13,7.19
小羊爱喝安慕希,3,9,0.59
蜜糖男孩,80,16,64.14
唯梦小战神,0,11,0.53
__八臂哪吒,1,1,1.33
你说是吧张小姐,0,13,2.04
CohenPu24,19,75,0.76
摇滾乌托邦,8,55,281.92
盼你多添一笔,2,1,0.93
Avendure,16,19,1.03
-秦琅-,0,6,0.36
XXXSUICIDE,11,28,1.44
辭別九州190127,30,18,0.28
爱听歌的狗大叔,48,10,178.38
归航有时,12,25,1.49
是在偷看月亮吗,12,58,0.42
陈易大叔,0,4,0.38
战1辞噗噗噗,0,0,1.96
钟泽希,33,54,229.16
君子别动口,10,11,0.63
橘子味儿的小笼包,10,5,0.14
GnaScheY,16,17,2.25
小小洛NaMI,36,160,0.41
西门子家电,0,0,1.01
Spectual,3448,672,311.77
Nurfefe-official,753,6,112.43
顾奈文案馆,115,75,39.97
音乐收藏者010,0,73,0.8
海绵宝宝不喜欢黄色,13,27,0.13
Galaxy银河映像,37,7,1.7
沐歌0720,654,357,1.87
纸长情短1998,20,25,0.26
i看美剧,59,24,53.25
fantab01,35,28,1.69
贩卖故事的少年,222,19,25.7
浪漫仅供参考,57,44,13.42
KarmaTenzing,3,5,5.15
