[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
空灵女声｜夜莺为谁而歌,欧美-夜晚-治愈,介绍：这白枳花，和田野的玫瑰这绿叶堆中易谢的紫罗兰还有五月中旬的骄宠这缀满了麝香玫瑰以前我虽不曾认识我却夜夜的歌唱他我将他的一桩桩事告诉星辰如今我见着他了,501,46370,41,22
下班刷歌踩油门,欧美-驾车-流行,介绍：会有很多听过，只是喜欢听歌 ，不论出处 与其被动的失眠，不如主动的熬夜听歌希望喜欢,28042,1790880,930,252
运动打球必备/节奏控,欧美-流行-运动,介绍：即使世界抛弃了我，可还有篮球陪着我。爱上我的歌单只用一首持续更新,54690,2403724,413,200
比伯 戳爷 霉霉 艾薇儿 火星哥 麦姐 烟鬼,欧美-快乐-感动,介绍：个人比较喜欢比伯的霉霉 薇薇 戳爷的在下面慢慢享用吧周期更新,5512,226794,190,58
戳爷/断眉/比伯/萌德/黄老板/霉霉/碧梨,欧美,介绍：戳爷/断眉/比伯/萌德/黄老板/霉霉/碧梨 精选,12170,458680,71,78
熬夜写作业必备醒脑歌单（英文）,欧美-夜晚,介绍：关于这个歌单我有几点想说一下1.本人对音乐并无研究，此歌单歌曲全凭个人喜好收藏。2.此歌单歌曲由本人持续收录，曲量不定，会对曲目有增减。3.此歌单风格迥异，尽管标签是“欧美”，但是可能也会有个别几首是其他语种。总的来说，此歌单属于比较燃的，曲风偏欢快，提神醒脑作用亲测有效。很感谢收藏这个歌单的小可爱们，谢谢你们。你们的收藏是我最大的鼓励。(≧∇≦)/,53124,2020059,267,601
打游戏必备【战歌、节奏电音、重金属】,欧美-兴奋-游戏,介绍：建议设置随机播放听着这歌单1V5玩游戏必备的易燃歌曲！都是些平时精挑细选的，燃到爆炸！喜欢就收藏吧，分享给身边喜欢打游戏的朋友吧！,11万,5038941,127,253
英文歌，流行~,欧美-流行-放松,介绍：好听的小众英文歌.,26352,1879600,194,274
提升英语语感的英文歌.,欧美-流行-快乐,介绍：简单有效地提升英语语感起初我是为自己做的这个歌单我只是自己感觉可以提升英语语感培养兴趣至于你们信不信我也没办法不喜勿喷感谢大佬们的收听歌有点多好听就完事慢慢听不着急.,19107,725376,1040,184
【燃向】提神醒脑/高考/刷题/通宵/抖腿,欧美-学习-兴奋,介绍：读书吧 做题吧 做烦了 做疯了就把书扔到一边听歌提提神清醒清醒再抱起书继续看周而复始这就是简单枯燥的学习为了能封住那些三姑六婆的嘴为了让曾经瞧不起你的人瞪大眼睛看清楚你就是这么优秀2020高考学子们加油！！！属于你的终将是你的主页的其它学习歌单也欢迎大家一试（ ﾉ ω ﾉ ）,30836,856744,54,694
欧美｜极品旋律 无限循环！,欧美-流行-兴奋,介绍：歌单没有排序 感谢收藏(o^^o)♪,52250,2840766,144,129
献给耳朵的礼物，150首欧美新锐歌曲,欧美-流行-放松,介绍：听说你们最近闹歌荒啦，曲目列表是不是有些时日木有更新了呢！？不过，别沮丧！本单汇集了最近两年内欧美新锐歌曲，你也许曾经听过里面的几首，但是这里可是有150首哦，相信会带给耳朵莫名的惊喜。本单将带给你全新的听觉盛宴，感受音乐的无穷魅力。就让此单来拯救你荒芜的曲目列表吧！这是献给耳朵的礼物！封面：艾伦·沃克！,21417,1323556,150,232
